Bird_name,Plant_name,Plant_name_in_reference,Plant_genus,Plant_family,Cons_ID_by,Plant_ID_by,ID_Florical,Voucher,Reference,Ref_type,Link_to_ref
Aplonis striata striata,Elattostachys apetala,,Elattostachys,,,,,,Sabatier (pers. commun.),Personal communication,
Ducula goliath,Endiandra baillonii,,Endiandra,,,,,,Létocart (1998),Technical report,
Ptilinopus greyi,Ficus obliqua,,Ficus,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Ficus obliqua,,Ficus,,,,,,Boissenin et al. (2006),Technical report,
Aplonis striata striata,Ficus prolixa,,Ficus,,,,,,Chartendrault (pers. commun.),Personal communication,
Coracina caledonica,Ficus prolixa,,Ficus,,,,,,Chartendrault (pers. commun.),Personal communication,
Drepanoptila holosericea,Ficus prolixa,,Ficus,,,,,,Chartendrault (pers. commun.),Personal communication,
Philemon diemenensis,Ficus prolixa,,Ficus,,,,,,Colombo (2008),Academic report,
Philemon diemenensis,Ficus prolixa,,Ficus,,,,,,Sabatier (pers. commun.),Personal communication,
Ducula goliath,Ficus racemigera,,Ficus,,,,,,Condamin (1978),Technical report,
Ducula goliath,Ficus racemigera,,Ficus,,,,,,Duron et al. (2017),Published paper,https://doi.org/10.1007/s10530-016-1284-1
Ducula goliath,Ficus racemigera,,Ficus,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Ducula goliath,Freycinetia sulcata,,Freycinetia,,,,,,Duron et al. (2017),Published paper,https://doi.org/10.1007/s10530-016-1284-1
Drepanoptila holosericea,Garcinia neglecta,,Garcinia,,,,,,Gailhbaud (com. pers),Personal communication,
Ducula goliath,Garcinia puat,,Garcinia,,J. Bégaud,J. Munzinger,,MacKee 45307,Herbier,Herbarium part,https://science.mnhn.fr/institution/mnhn/collection/p/item/p04665869
Ducula goliath,Gardenia oudiepe,,Gardenia,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Guettardella rhamnoides,Guettarda rhamnoides,Guettardella,,,,37064,,Condamin (1978),Technical report,
Ducula goliath,Guettarda wagapensis,,Guettardella,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ptilinopus greyi,Halfordia kendack,,Halfordia,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Halfordia kendack,,Halfordia,,,,,,Boissenin et al. (2006),Technical report,
Ducula goliath,Hernandia cordigera,,Hernandia,,,,,,Condamin (1978),Technical report,
Ducula goliath,Hernandia cordigera,,Hernandia,,,,,,Létocart (1998),Technical report,
Ducula goliath,Ilex sebertii,,Ilex,,,,,,Létocart (1998),Technical report,
Zosterops xanthochroa,Ixora collina,,Ixora,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Jasminum didymum,,Jasminum,,,,,,Boissenin et al. (2006),Technical report,
Coracina analis,Joinvillea plicata,,Joinvillea,,,,,,Mériot (pers. commun.),Personal communication,
Ducula goliath,Kermadecia rotundifolia,,Kermadecia,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Lantana camara,,Lantana,,,,,,Colombo (2008),Academic report,
Zosterops xanthochroa,Lantana camara,,Lantana,,,,,,Endemia,Online photo,
Ducula goliath,Meiogyne lecardii,,Meiogyne,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Eunymphicus cornutus,Melia azedarach,,Melia,,,,,,Endemia,Online photo,
Ptilinopus greyi,Mimusops elengi,,Mimusops,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Mimusops elengi,,Mimusops,,,,,,Boissenin et al. (2006),Technical report,
Ptilinopus greyi,Mimusops elengi,,Mimusops,,,,,,Tassin et al. (2010),Published paper,https://bioone.org/journals/pacific-science/volume-64/issue-4/64.4.527/Can-Ptilinopus-greyii-Columbidae-Disperse-Seeds-in-New-Caledonias-Dry/10.2984/64.4.527.full
Ducula goliath,Montrouziera cauliflora,,Montrouziera,,,,,,Condamin (1978),Technical report,
Ducula goliath,Montrouziera cauliflora,,Montrouziera,,,,,,Létocart (1998),Technical report,
Ducula goliath,Nephelium sinensis,,Nephelium,,,,,,Condamin (1978),Technical report,
Ducula goliath,Neuburgia novocaledonica,,Neuburgia,,,,2351,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Neuburgia novocaledonica,,Neuburgia,,,J. Munzinger,2351,4-03-2013E,Munzinger (pers. commun.),Personal communication,
Ducula goliath,Ochrosia silvatica,,Ochrosia,,,,,,Colombo (pers. commun.),Personal communication,
Aplonis striata striata,Olea paniculata,,Olea,,D. Létocart,J. Munzinger,3000,,Munzinger (pers. commun.),Personal communication,
Ducula goliath,Oncotheca humboldtiana,,Oncotheca,,,,,,Colombo (2008),Academic report,
Ducula goliath,Oncotheca humboldtiana,,Oncotheca,,,,,,Colombo (pers. commun.),Personal communication,
Ducula goliath,Oncotheca humboldtiana,,Oncotheca,,,,,,Morat & Veillon (1989),Flora,
Ducula goliath,Oncotheca humboldtiana,,Oncotheca,,,J. Munzinger,,4-03-2013A,Munzinger (pers. commun.),Personal communication,
Ducula goliath,Oncotheca humboldtiana,,Oncotheca,,,J. Munzinger,,,Munzinger (pers. commun.),Personal communication,
Aplonis striata striata,Oxera neriifolia,,Oxera,,,,,,Mabberley & de Kok (2004),Flora,
