locality,longitude,latitude,year_obs,nom_taxon,family,genus,dbh
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,14.5
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,10.5
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,11.8
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,10.5
Ateou,164.9203294,-20.95063655,2013,Acropogon sageniifolius,Malvaceae,Acropogon,11.5
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,19.1
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,15.3
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,30.2
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,20.1
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,13.1
Prokomeo,165.8697253,-21.49363895,2019,Actinokentia,Arecaceae,Actinokentia,10
Prokomeo,165.8697253,-21.49363895,2019,Actinokentia,Arecaceae,Actinokentia,10.5
Forêt Plate P17,165.107077,-21.122677,2015,Agathis moorei,Araucariaceae,Agathis,58.3
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,73.2
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,15
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,13.4
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,24.2
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,11.8
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,22
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,44.6
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,29.9
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,46.5
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,13.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,69.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,12.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,56.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,45.5
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,19.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,21
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,43.9
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,44.2
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,38.5
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,29.6
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,35.3
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,55.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,32.5
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,10.2
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,30.6
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,47.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,91.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,22
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,35.3
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,35.3
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,53.5
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,10
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,76.4
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,80.2
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,61.1
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,42.3
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,16.2
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,23.2
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,12.1
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,65.6
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,12.4
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,10.8
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,57.9
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,12.4
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,78
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,11.5
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,11.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.9
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,26.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,17.5
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,22.3
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,16.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,34.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.5
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,14.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,17.5
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,16.9
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,18.5
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,27.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,11.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,18.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.9
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,11.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,17.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,11.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,14.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,13.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,30.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,18.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,13.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,18.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,28.6
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,17.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,11.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,14
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.3
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,23
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,23.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,17.5
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,19.7
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.3
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,17.5
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,27.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,12.4
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,18.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,15.9
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,23.9
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,11.5
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,17.8
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.3
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,11.3
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,10.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,13.1
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,20.2
Calcaires de Koumac,164.355251,-20.539273,2016,Aglaia elaeagnoidea,Meliaceae,Aglaia,21.8
